,허가일자,상호,설비용량(KW),설치행정시,설치지역,원동력종류,사업개시일,구분,데이터기준일자,주소
0,2018.4.4,(유)나월(나월태양광발전소),496.8,제주시,애월읍,태양광,2019.4.26,육상,2020.1.20,제주시 애월읍
1,2014.10.7,(유)메가솔라 태양광발전소,1800.0,제주시,구좌읍,태양광,2015.7.1,없음,2020.1.20,제주시 구좌읍
2,2014.5.15,(유)무한에코에너지(서민행복8호태양광발전소),516.0,서귀포시,남원읍,태양광,2014.10.16,없음,2020.1.20,서귀포시 남원읍
3,2014.12.9,(유)용흥마을태양광발전소,99.0,서귀포시,강정동,태양광,2015.10.29,없음,2020.1.20,서귀포시 강정동
4,2014.10.14,(유)제주 늘해랑,2198.0,서귀포시,성산읍,태양광,2019.1.31,없음,2020.1.20,서귀포시 성산읍
5,2007.12.28,(유)케이엔디태양광발전소,80.0,제주시,한경면,태양광,2008.4.21,없음,2020.1.20,제주시 한경면
6,2018.4.2,(주 )일광쏠라 태양광발전소,499.9,서귀포시,성산읍,태양광,2019.2.12,육상,2020.1.20,서귀포시 성산읍
7,2014.9.19,(주)가시리태양광,1494.0,서귀포시,표선면,태양광,2017.3.9,없음,2020.1.20,서귀포시 표선면
8,2015.5.19,(주)강산에너지 홍상기,750.0,제주시,회천동,태양광,2016.2.3,없음,2020.1.20,제주시 회천동
9,2013.12.19,(주)경선태양광((주)경선태양광(무릉지점)발전소),372.0,서귀포시,대정읍,태양광,2014.6.6,없음,2020.1.20,서귀포시 대정읍
10,2017.11.23,(주)경철태양광,997.92,서귀포시,표선면,태양광,2018.12.19,육상,2020.1.20,서귀포시 표선면
11,2012.9.27,(주)구노제주솔라,330.0,서귀포시,성산읍,태양광,2013.3.11,없음,2020.1.20,서귀포시 성산읍
12,2014.10.13,(주)금학전기(금학사호 태양광발전소),599.4,서귀포시,성산읍,태양광,2018.10.12,없음,2020.1.20,서귀포시 성산읍
13,2014.7.10,(주)금학전기(금학이태양광발전소),837.0,서귀포시,남원읍,태양광,2016.7.14,없음,2020.1.20,서귀포시 남원읍
14,2014.7.10,(주)금학전기(금학일태양광발전소),1390.0,서귀포시,남원읍,태양광,2015.12.25,없음,2020.1.20,서귀포시 남원읍
15,2014.1.22,(주)나눔장학회((주)나눔태양광(영락)),480.0,서귀포시,대정읍,태양광,2014.9.3,없음,2020.1.20,서귀포시 대정읍
16,2014.1.22,(주)남정수상태양광((주)남정수상태양광(상모1호기)),280.0,서귀포시,대정읍,태양광,2014.9.3,없음,2020.1.20,서귀포시 대정읍
17,2014.2.20,(주)남정수상태양광(상모2호기),450.0,서귀포시,대정읍,태양광,2014.5.29,없음,2020.1.20,서귀포시 대정읍
18,2013.12.23,(주)다쓰테크 가시리태양광발전소,1999.2,서귀포시,표선면,태양광,2014.6.26,없음,2020.1.20,서귀포시 표선면
19,2014.6.25,(주)다쓰테크 성읍리제2태양광발전소,1238.4,서귀포시,표선면,태양광,2015.2.24,없음,2020.1.20,서귀포시 표선면
20,2014.4.8,(주)다쓰테크 성읍리태양광발전소,859.5,서귀포시,표선면,태양광,2015.5.25,없음,2020.1.20,서귀포시 표선면
21,2013.12.12,(주)대원솔라제주,1396.8,서귀포시,대정읍,태양광,2014.10.8,없음,2020.1.20,서귀포시 대정읍
22,2014.1.2,(주)대은계전((주)대은계전 태양광발전소),30.0,제주시,영평동,태양광,2014.6.26,없음,2020.1.20,제주시 영평동
23,2013.5.28,(주)대정태양광발전,400.0,서귀포시,대정읍,태양광,2013.9.5,없음,2020.1.20,서귀포시 대정읍
24,2013.5.28,(주)대정태양광발전,500.0,서귀포시,대정읍,태양광,2013.9.5,없음,2020.1.20,서귀포시 대정읍
