iter	Logloss
0	0.6886574823
1	0.6836983121
2	0.6792447409
3	0.6746907744
4	0.6708115806
5	0.6668933619
6	0.6633305262
7	0.6598768387
8	0.6566078472
9	0.6531941512
10	0.6497651771
11	0.647090787
12	0.6442483738
13	0.6414827357
14	0.6386094311
15	0.6360175537
16	0.6331439798
17	0.6306899275
18	0.6285686051
19	0.6262107096
20	0.6242298481
21	0.622263309
22	0.620109039
23	0.6175919953
24	0.6158196101
25	0.6142209562
26	0.6117805087
27	0.6097742505
28	0.6083504841
29	0.6066363793
30	0.604798644
31	0.6031207045
32	0.601757653
33	0.6000554535
34	0.5988011619
35	0.5975829788
36	0.5963565273
37	0.5949103634
38	0.5934828373
39	0.5922680351
40	0.5908232179
41	0.5895328431
42	0.5882552014
43	0.5869787812
44	0.585648353
45	0.5842338947
46	0.582925147
47	0.5818540225
48	0.5805658113
49	0.5796468327
50	0.5782524627
51	0.5774489167
52	0.5766513411
53	0.5760269845
54	0.5751311664
55	0.5745656121
56	0.5738102644
57	0.5729745084
58	0.5719986796
59	0.5710546243
60	0.5704280454
61	0.5692686529
62	0.5682843489
63	0.5671999774
64	0.5662744551
65	0.565514335
66	0.5645539901
67	0.5638093218
68	0.563211611
69	0.562556355
70	0.5616110743
71	0.5607693505
72	0.5598234175
73	0.5588104077
74	0.5582167155
75	0.5574820385
76	0.5568517301
77	0.5563001146
78	0.5557501805
79	0.5549107825
80	0.5540495754
81	0.5530640727
82	0.5524666374
83	0.551835777
84	0.551399054
85	0.550448166
86	0.5497000904
87	0.5489653734
88	0.5483493749
89	0.5478364881
90	0.5472504557
91	0.5464196696
92	0.5455159587
93	0.5448441449
94	0.5442835308
95	0.5435724105
96	0.5431836622
97	0.5427227838
98	0.5419802195
99	0.5414602862
100	0.5407581689
101	0.540161733
102	0.5398621789
103	0.539286905
104	0.538794526
105	0.538494951
106	0.5381818431
107	0.5377238832
108	0.5374302852
109	0.536783717
110	0.5360937395
111	0.5356691273
112	0.5354029963
113	0.5347374838
114	0.5343780032
115	0.533996696
116	0.5335300249
117	0.5328830304
118	0.5324831727
119	0.5319520357
120	0.531487264
121	0.53086948
122	0.53007794
123	0.5295770287
124	0.5288155492
125	0.5284080892
126	0.5278940236
127	0.5274487908
128	0.5270354757
129	0.5265376945
130	0.5258084359
131	0.5252543366
132	0.5247175027
133	0.5243081946
134	0.5240152072
135	0.5237029069
136	0.5230913419
137	0.5224714277
138	0.5217556975
139	0.521241743
140	0.520870164
141	0.5203936717
142	0.5201548131
143	0.5196708943
144	0.5191458329
145	0.518592659
146	0.5181920645
147	0.5178265154
148	0.5174897701
149	0.5170398653
150	0.5166395458
151	0.5160848999
152	0.5157514303
153	0.5151826904
154	0.5148717098
155	0.51431158
