iter	Passed	Remaining
0	17	42749
1	31	38920
2	46	38354
3	58	36606
4	72	35980
5	84	35177
6	98	35100
7	111	34604
8	127	35425
9	140	34977
10	154	35010
11	166	34443
12	181	34683
13	197	35053
14	208	34505
15	222	34479
16	237	34618
17	254	35126
18	269	35131
19	284	35292
20	298	35233
21	317	35726
22	334	36001
23	351	36236
24	367	36373
25	384	36547
26	398	36510
27	416	36758
28	432	36821
29	446	36787
30	463	36913
31	478	36912
32	492	36828
33	504	36613
34	517	36420
35	533	36484
36	548	36507
37	562	36474
38	577	36459
39	591	36375
40	601	36090
41	615	36049
42	628	35914
43	656	36620
44	674	36775
45	693	36983
46	705	36841
47	721	36875
48	740	37034
49	754	36962
50	768	36922
51	784	36936
52	801	37000
53	819	37142
54	836	37172
55	850	37125
56	865	37102
57	883	37189
58	898	37168
59	914	37172
60	926	37029
61	942	37056
62	955	36977
63	971	36989
64	986	36965
65	1004	37051
66	1022	37119
67	1035	37035
68	1050	37026
69	1065	36990
70	1082	37018
71	1100	37107
72	1116	37121
73	1134	37193
74	1150	37199
75	1166	37216
76	1179	37127
77	1195	37134
78	1212	37144
79	1230	37223
80	1249	37309
81	1262	37229
82	1274	37116
83	1288	37047
84	1302	36999
85	1320	37066
86	1336	37076
87	1352	37079
88	1369	37103
89	1383	37041
90	1397	36999
91	1410	36920
92	1422	36818
93	1436	36773
94	1448	36680
95	1464	36668
96	1481	36713
97	1496	36672
98	1513	36702
99	1525	36609
100	1539	36556
101	1553	36519
102	1568	36500
103	1580	36405
104	1593	36353
105	1605	36255
106	1618	36205
107	1635	36219
108	1650	36196
109	1661	36105
110	1673	36024
111	1685	35935
112	1700	35919
113	1720	36009
114	1736	36004
115	1752	36009
116	1769	36035
117	1788	36104
118	1802	36067
119	1818	36062
120	1840	36187
121	1857	36198
122	1876	36255
123	1888	36191
124	1907	36247
125	1928	36344
126	1945	36353
127	1963	36386
128	1980	36398
129	1996	36400
130	2014	36436
131	2034	36501
132	2051	36518
133	2072	36596
134	2093	36668
135	2111	36704
136	2130	36742
137	2150	36800
138	2165	36783
139	2180	36750
140	2196	36751
141	2215	36782
142	2234	36835
143	2254	36892
144	2274	36934
145	2290	36936
146	2307	36934
147	2324	36946
148	2340	36926
149	2358	36944
150	2373	36930
151	2386	36868
152	2402	36854
153	2422	36900
154	2441	36934
155	2458	36934
156	2474	36935
157	2489	36898
158	2508	36934
159	2524	36926
160	2540	36901
161	2556	36902
162	2572	36887
163	2589	36887
164	2605	36866
165	2621	36853
166	2638	36853
167	2654	36844
168	2662	36726
169	2676	36689
170	2692	36667
171	2710	36680
172	2724	36644
173	2740	36632
174	2757	36639
175	2775	36643
176	2787	36587
177	2803	36575
178	2821	36582
179	2838	36583
180	2854	36569
181	2870	36556
182	2887	36564
183	2902	36531
184	2919	36528
185	2936	36532
186	2954	36545
187	2971	36546
188	2991	36583
189	3009	36593
190	3027	36596
191	3043	36584
192	3060	36587
193	3075	36563
194	3093	36567
195	3109	36558
196	3126	36546
197	3142	36540
198	3158	36520
199	3174	36504
200	3189	36481
201	3208	36497
202	3225	36491
203	3242	36495
204	3259	36495
205	3273	36454
206	3288	36428
207	3302	36391
208	3314	36337
209	3331	36332
210	3345	36294
211	3359	36262
212	3375	36238
213	3391	36224
214	3406	36208
215	3424	36211
216	3437	36169
217	3451	36133
218	3467	36111
219	3481	36086
220	3497	36064
221	3512	36043
222	3525	36001
223	3541	35983
224	3553	35931
225	3570	35921
226	3584	35896
227	3600	35883
228	3614	35849
229	3628	35814
230	3644	35794
231	3658	35769
232	3673	35738
233	3688	35713
234	3704	35704
235	3721	35702
236	3736	35678
237	3750	35644
238	3765	35618
239	3779	35586
240	3790	35532
241	3805	35510
242	3819	35478
243	3835	35458
244	3848	35420
245	3863	35395
246	3877	35370
247	3892	35344
248	3904	35296
249	3919	35277
250	3935	35263
251	3950	35243
252	3965	35218
253	3983	35221
254	3997	35192
255	4013	35180
256	4028	35161
257	4045	35151
258	4056	35103
259	4070	35072
260	4085	35047
261	4100	35027
262	4115	35002
263	4127	34962
264	4141	34927
265	4157	34916
266	4170	34879
267	4184	34849
268	4198	34822
269	4214	34808
270	4226	34766
271	4240	34737
272	4254	34709
273	4268	34680
274	4282	34647
275	4296	34622
276	4312	34605
277	4326	34583
278	4342	34565
279	4355	34535
280	4369	34507
281	4386	34501
282	4403	34493
